Map Key,NASA Center,Starting Population,Estimated Final Population,Total Civil Servants Departing Agency,Departure Share
HQ,NASA Headquarters,1841,1382,459,0.2493
ARC,Ames Research Center,1225,942,283,0.2310
AFRC,Armstrong Flight Research Center,500,385,115,0.2300
GRC,Glenn Research Center,1391,1071,320,0.2300
GSFC,Goddard Space Flight Center,2884,2221,663,0.2299
JSC,Johnson Space Center,3292,2535,757,0.2300
KSC,Kennedy Space Center,2016,1553,463,0.2297
LaRC,Langley Research Center,1730,1332,398,0.2300
MSFC,Marshall Space Flight Center,2240,1725,515,0.2299
SSC,Stennis Space Center,274,211,63,0.2299
