Fiscal Year,Viking,Mariner,Pioneer & Helios,Voyager,Galileo,HEAO & large observatories,Space Telescope,Explorers & other astrophysics,Life sciences,"Research, operations & support",
1970,40.0,63.871,22.57,0.0,0.0,47.798,0.0,18.295,19.655,71.217,
1971,35.0,41.84,41.675,0.0,0.0,40.141,0.0,25.837,12.898,76.363,
1972,176.2,61.6,15.264,9.165,0.0,45.4,0.0,22.6,0.0,71.371,
1973,232.249,37.683,11.573,6.064,0.0,47.935,0.0,33.158,0.0,89.507,
1974,290.437,11.135,7.005,27.39,0.0,19.939,0.0,32.787,0.0,97.789,
1975,89.016,5.324,33.642,69.761,0.0,49.421,3.0,35.46,19.8,111.891,
1976,39.5,0.0,61.7,82.4,0.0,59.218,5.0,36.822,20.576,128.91,
1977,25.4,0.0,46.3,50.3,0.0,39.362,0.0,55.138,22.125,141.7,
1978,20.0,0.0,21.806,16.025,20.95,25.15,36.0,67.856,33.3,163.613,
1979,5.0,0.0,12.325,16.742,78.7,19.8,79.2,76.788,40.1,176.745,
